0,-1,-1,-1,-1,-1,-1,-1,-1
1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,1,0
3,0,0,0,0,0,1,0,0
4,0,0,0,0,1,0,0,0
5,0,0,0,1,0,0,0,0
6,0,0,0,1,0,0,0,1
7,1,1,0,0,0,0,0,0
8,1,1,0,0,0,0,1,0
9,1,1,0,0,0,1,0,0
10,1,1,0,0,1,0,0,0
11,1,1,0,0,1,0,0,1
12,1,1,0,1,0,0,0,0
13,2,5,0,0,0,0,0,0
14,2,5,0,0,0,0,1,0
15,2,5,0,0,0,1,0,0
16,2,5,0,0,0,1,0,1
17,2,5,0,0,1,0,0,0
18,2,5,0,1,0,0,0,0
19,3,12,0,0,0,0,0,0
20,3,12,0,0,0,0,1,0
21,3,12,0,0,0,0,1,1
22,3,12,0,0,0,1,0,0
23,3,12,0,0,1,0,0,0
24,3,12,0,1,0,0,0,0
25,0,0,16,0,0,0,0,0
26,0,0,16,1,0,0,0,0
27,1,1,16,0,0,0,0,0
28,1,1,16,0,1,0,0,0
29,2,5,16,0,0,0,0,0
30,2,5,16,0,0,1,0,0
31,3,12,16,0,0,0,0,0
32,3,12,16,0,0,0,1,0
33,0,0,32,0,0,0,0,0
34,1,1,32,0,0,0,0,0
35,2,5,32,0,0,0,0,0
36,3,12,32,0,0,0,0,0
